Artifact_Name,Museum_Name,Artifact_Type,Material,Period_Dating,Finding_Place,Gallery_No,Dimensions,Credit_Donor,Description,Image_URL,Source_Link
Sword of Nawab Siraj-ud-Daulah,Bangladesh National Museum,Weapon,Steel,18th century (d. 1757),Murshidabad,Arms Gallery,,,"Sword linked to the last independent Nawab of Bengal, symbol of resistance against British East India Company. The blade is steel with a curved form typical of 18th-century Indo-Persian swords. Its association with Siraj-ud-Daulah makes it a powerful emblem of the Battle of Plassey and the beginning of colonial rule in the Indian subcontinent.",https://drive.google.com/file/d/14VzqRxSXXCY45aqIlkN96CEQOcrl2gm0/view?usp=sharing,https://bangladeshmuseum.gov.bd/pages/photo-galleries/%E0%A7%A7%E0%A7%A6%E0%A7%A6-%E0%A6%A8%E0%A6%BF%E0%A6%B0%E0%A7%8D%E0%A6%A6%E0%A6%B6%E0%A6%A8-%E0%A6%B8%E0%A6%82%E0%A6%96%E0%A7%8D%E0%A6%AF%E0%A6%BE-360f62-6922dda281fc96cef9ec0e6e 
Cannon of Isa Khan,Bangladesh National Museum,Weapon,Bronze,16th century (1575–1599),Sonargaon,Arms Gallery,Large field cannon,,"Used by Isa Khan against Mughal forces, emblem of Bengal’s independence. This bronze cannon is a massive piece of artillery, cast with decorative rings and possibly inscriptions. Isa Khan was a leader of the Baro-Bhuiyan confederacy who resisted Mughal expansion into Bengal. The cannon represents the fierce resistance and military capability of the region before it came under full Mughal control.",https://drive.google.com/file/d/1LA7dq8ChaVnssHV2YvA4YKVAUfVMdvKD/view?usp=sharing,https://bangladeshmuseum.gov.bd/pages/photo-galleries/%E0%A7%A7%E0%A7%A6%E0%A7%A6-%E0%A6%A8%E0%A6%BF%E0%A6%B0%E0%A7%8D%E0%A6%A6%E0%A6%B6%E0%A6%A8-%E0%A6%B8%E0%A6%82%E0%A6%96%E0%A7%8D%E0%A6%AF%E0%A6%BE-360f62-6922dda281fc96cef9ec0e6e
Helmet of bengal sultanate-kuludh kha,,Armor / Headgear,Forged Steel with chainmail aventail,"13th–16th century CE (Bengal Sultanate, 1205–1576 CE)",Bengal (exact provenance unrecorded; acquired through historical Bengal collections),Arms Gallery,,,"A steel combat helmet of the kulah khud type, representing the military material culture of the independent Bengal Sultanate. The skull is formed by hand-hammering a single piece of steel into a hemispherical dome with a pointed or slightly conical top, a form derived from Central Asian and Persian military traditions that entered Bengal through Turkic and Afghan rulers during the early Sultanate period. The exterior surface bears engraved or chiseled floral and geometric decoration, with a band of Quranic or Persian calligraphic inscriptions running along the lower rim in naskh or nasta'liq script — a standard feature of high-status Islamic military equipment of the period. A central spike socket (mighfer) surmounts the dome, flanked by one or two plume holders for ceremonial egret feathers. A riveted chainmail aventail (bargustawan) hangs from the lower edge, originally covering the neck, shoulders, and sides of the face. A sliding nasal bar is attached at the front. The interior retains visible hammer marks from its manufacture. The helmet reflects the synthesis of Central Asian, Persian, and local Bengali metalworking traditions that characterized Sultanate-era arms production in Bengal, and stands as one of the few surviving pieces of military headgear from this period held in a Bangladeshi public collection.",https://drive.google.com/file/d/1TAEz1Zp-aJQJgFuV0tGa6L2IJYkcwvJC/view?usp=sharing,https://commons.wikimedia.org/wiki/File:Bengal_Sultanate_helmet.jpg
Gold Coins of Bengal Sultans,Bangladesh National Museum,Coin,Gold,1205–1538 CE,Pandua/Gaur/Satgaon,Numismatics Gallery,"~10–15 mm, ~10.5 g",Acquired via Dacca Museum collections,"Coins inscribed with ruler’s name, Islamic phrases, mint city; ornate calligraphy. These gold dinars and tankas were struck by various sultans of the independent Bengal Sultanate, including rulers like Ghiyasuddin Iwaz Shah, Shamsuddin Ilyas Shah, and Alauddin Hussain Shah. The coins feature elegant Arabic script and sometimes the Bengali date. They reveal the economic prosperity and political sovereignty of medieval Bengal.",https://drive.google.com/file/d/1r8KZmHNfjrVeiR1T3hBTLGuU529NOk2Z/view?usp=sharing,https://bangladeshmuseum.gov.bd/pages/photo-galleries/%E0%A7%A7%E0%A7%A6%E0%A7%A6-%E0%A6%A8%E0%A6%BF%E0%A6%B0%E0%A7%8D%E0%A6%A6%E0%A6%B6%E0%A6%A8-%E0%A6%B8%E0%A6%82%E0%A6%96%E0%A7%8D%E0%A6%AF%E0%A6%BE-360f62-6922dda281fc96cef9ec0e6e
Rabindranath Tagore’s Letter,Bangladesh National Museum,Manuscript,Paper/Ink,Early 20th century,,,,Donated by private collector,"Handwritten letter by Nobel laureate poet Rabindranath Tagore. The letter is written in Bengali script on paper, likely addressed to a contemporary or discussing literary or social matters. Tagore's intimate correspondence provides insight into his thoughts, creative process, and relationships. Such manuscripts are invaluable for understanding the cultural renaissance of Bengal in the early 20th century.",,https://bangladeshmuseum.gov.bd/pages/photo-galleries/100-artifacts
Zainul Abedin’s Famine Sketches,Bangladesh National Museum,Painting/Sketch,Ink on Paper,1943 CE,Calcutta,Gallery 7,,Donated by Zainul Abedin,"Iconic sketches depicting human suffering during famine; cornerstone of modern Bangladeshi art. Zainul Abedin created a series of ink drawings in 1943 documenting the Bengal Famine. Using Chinese ink on paper, he portrayed skeletal figures, desperate crowds, and scenes of death on the streets of Calcutta. The raw, unflinching realism of these sketches shocked the world and established Abedin as a pioneering modernist artist in South Asia. These works also served as a powerful critique of British colonial policies and indifference.",https://imp-art.org/wp-content/uploads/2026/05/1.-Famine-Sketch-1943-Black-ink-on-paper-42-x-58.5-cm-Bangladesh-National-Museum-collection.jpg-1-e1778825330254.jpeg,https://imp-art.org/perspectives/dispatches/the-artist-as-witness-zainul-abedins-famine-sketches/
Nabanna (New Harvest),Bangladesh National Museum,Painting,Watercolor on Paper,c. 1950s,Rural Bengal,Gallery 7,,Artist: Zainul Abedin,"Watercolor depicting Nabanna festival celebrating new rice harvest. In this vibrant work, Abedin moves away from tragedy to celebrate the resilience of rural life. The painting shows farmers gathering ripe paddy, women cooking the first rice of the season, and the community sharing in the abundance. The composition is filled with movement and earthy colors, reflecting the cyclical nature of agricultural life and the hope that follows hardship. The Nabanna festival remains an important cultural event in Bangladesh.",https://drive.google.com/file/d/1-aIsSIeQf4dLb-z1RIFrzSn88n-nTrF7/view?usp=sharing,https://bengalfoundation.org/featured-artist/zainul-abedin-2/
Santal Village Life,Bangladesh National Museum,Painting,Watercolor on Paper,c. 1950s–1960s,Birbhum/Rajshahi,Gallery 7,,Artist: Zainul Abedin,"Depicts Santal men and women in traditional dress with dignity. Abedin was deeply interested in the indigenous Santal community of Bengal. This watercolor portrays a peaceful village scene: Santal women in red-bordered white saris carrying water pots, men in loincloths working or playing drums. Unlike ethnographic illustrations that otherize, Abedin’s treatment gives the Santals a sense of agency and humanity, celebrating their distinct culture as an integral part of Bengal’s heritage.",https://drive.google.com/file/d/1TRn5ZAWEaFtJnNSFUKo911rCXOtFLMWD/view?usp=sharing,https://bengalfoundation.org/featured-artist/zainul-abedin-2/
A descriptive catalogue of the Sanskrit and Bengali manuscripts,Bangladesh National Museum,Manuscript,Palm leaf/Paper,12th–18th century,Dhaka/Rajshahi,Manuscripts Gallery,Varying sizes,Acquired from private collections,"Rare manuscripts in Sanskrit and Bengali covering philosophy, religion, literature. The collection includes palm-leaf manuscripts of Hindu religious texts like the Bhagavata Purana, Buddhist philosophical treatises, and medical works (Ayurveda). Some are illustrated with miniature paintings. These fragile artifacts are preserved in climate-controlled cases and are crucial for studying the intellectual history of pre-modern Bengal. They also demonstrate the long tradition of manuscript culture in the region before the printing press.",https://drive.google.com/file/d/1N4jNLzHz9NNAT7zYUC099y90U1BtLq72/view?usp=sharing,https://archive.org/details/sanskrit-and-bengali-manuscripts-in-bangladesh-national-museum-pt-1/Sanskrit%20and%20Bengali%20manuscripts%20in%20Bangladesh%20National%20Museum%20Pt-1/page/62/mode/2up
Standing Vishnu Image,Bangladesh National Museum,Sculpture,Black Basalt,9th–10th century CE,Dinajpur/Rangpur,Gallery 6,,Excavation find,"Four-armed Vishnu holding conch, discus, mace, lotus. Carved from fine-grained black basalt, this Pala-period sculpture stands approximately 1 meter tall. Vishnu is shown in a rigid frontal pose (samabhanga) wearing a tall cylindrical crown (kiritamukuta). The four attributes are held in his four hands: shankha (conch), chakra (discus), gada (mace), and padma (lotus). The figure is flanked by two small attendants or personifications of his consorts, Lakshmi and Saraswati. The carving is crisp and highly polished, typical of the Pala stone carving tradition.",https://drive.google.com/file/d/1hpRaDmn9P5sUI31TUL8y7cJgdZEDy_Y2/view?usp=sharing,pdf
