Museum Name,City,District,Division,Category,Established_Date,Opened_as_Museum_Date,Owner,Number_of_Galleries,Entry_Fee_Local_BDT,Entry_Fee_SAARC_BDT,Entry_Fee_Foreigner_BDT,Entry_Fee_Others,Opening_Hours,Closed_Days,Coordinates,Public_Transit_Access,Phone,Email,Website
Ahsan Manzil,Old Dhaka,Dhaka,Dhaka,Palace Museum,1859-1869,20 September 1992,Bangladesh National Museum,23,40,300,500,"20 (student), under 5 free",Sat-Wed: 10:30-17:30; Fri: 15:00-20:00,Thursday,"23°42'30.95""N 90°24'21.81""E",Bus from Islampur Road area,880247391933; 01832717017; 01926081326,ahsanmanzil.org.bd,http://www.ahsanmanzil.org.bd
Bagha Museum,Bagha,Rajshahi,Rajshahi,Site Museum,July 2012,7 May 2015,Department of Archaeology,,15,50,200,"5 (secondary level), under 5 free","Summer (10:00-18:00, closed 13:00-13:30); Winter (9:00-17:00); Fri closed 12:30-15:30",Sunday; Fri closed for prayer,"24°11'53""N 88°50'24""E",,,,
Bangabandhu Boat Museum,Patharghata,Barguna,Barisal,Boat Museum,,31 December 2020,Deputy Commissioner of Barguna,4 galleries,,,,,,,,,,,
Bangladesh Air Force Museum,Tejgaon,Dhaka,Dhaka,Military Museum,17 June 1987,October 2014,Bangladesh Air Force,4 galleries,20,,,,Mon-Thu (14:00-20:00); Fri-Sat (10:00-20:00),,,"BAF Base Bashar, near Tejgaon airstrip",8801769975718,bafmuseum@gmail.com,https://museum.baf.mil.bd/
Bangladesh Maritime Museum,Chittagong,Chittagong,Chattogram,Maritime Museum,,1 June 1995,Ministry of Defence,1 room,,,,,,,"22°20'38.8""N 91°49'31.46""E",,,,
Bangladesh Bank Taka Museum,Mirpur-2,Dhaka,Dhaka,Specialized Museum,27 April 2013,5 October 2013,Bangladesh Bank,2 galleries,,,,,,,,,8802556650016,webmaster@bb.org.bd,https://www.bb.org.bd/en/index.php/museum/index
Bangladesh Military Museum,Bijoy Sarani (Tejgaon),Dhaka,Dhaka,Military Museum,March 1987,6 January 2022,Bangladesh Army,6 galleries,150,500,800,Military Schools: BDT 30 / Other Schools: BDT 50,"Sunday, Monday, Tuesday & Thursday: 10:30 AM – 6:30 PM; Friday: 3:00 PM – 7:00 PM; Saturday: 10:30 AM – 7:00 PM",Wednesday,,"Metro from Agargaon station; Bus to Bijoy Sarani, Farmgate",8801769017770,,https://bangladeshmilitarymuseum.org
Bangladesh National Museum,Shahbag,Dhaka,Dhaka,National Museum,20 March 1913,7 August 1913,Ministry of Cultural Affairs,44-46 galleries,20,100,500,,Sat-Wed: 10:00-17:00; Thu: 10:00-12:30 (half day),Thursday,"23°44'08""N 90°23'47""E",Bus from Gulistan / Motijheel / Shahbag / Gabtali / Mirpur / Tongi to Shahbag; Taxi,,,https://bangladeshmuseum.gov.bd
Barisal Divisional Museum,Barisal District,Barisal,Barisal,Divisional Museum,8 June 2015 (inauguration),8 June 2015,Department of Archaeology,6 galleries,10,25,100,"5 (secondary level), under 5 free",Summer (10:00-18:00); Winter (9:00-18:00),,"22°42'11""N 90°22'08""E",,,,
Birshreshtha Munshi Abdur Rouf Library and Museum,Roufnagar,Faridpur,Dhaka,Memorial Library and Museum,28 May 2008,28 May 2008,Ministry of Cultural Affairs,1 gallery (or a few rooms),,,,,,,,,,,https://www.thedailystar.net/news-detail-38365
Mohammed Ali Palace Museum,Bogra,Bogra,Rajshahi,Archaeological Museum,,,Bogra District Council,,,,,,,,,,,,
Bangabandhu Memorial Museum,Dhanmondi,Dhaka,Dhaka,Memorial Museum,14 August 1994,14 August 1994,Ministry of Cultural Affairs,(the main exhibition spans 3 floors),20,,500,,Thu-Tue (10:00-18:00),Wednesday,"23°45'06""N 90°22'35""E",,,,https://bangabandhumuseum.org.bd
Birisiri Upajatiya Cultural Academy Museum,Birisiri (Durgapur),Netrokona,Mymensingh,Tribal Museum,1977 (as academy),,Ministry of Cultural Affairs,,,,,,,,,,,,
Chandpur Fisheries Museum,Chandpur,Chandpur,Chattogram,Fisheries Museum,,,,,,,,,,,,,,,
Comilla Rammala Museum,Cumilla,Cumilla,Chattogram,District Museum,1912 (as library),,Department of Archaeology,,,,,,,,"23°27'14""N 91°11'19""E",,,,
Cox's Bazar Fisheries Museum,Cox's Bazar,Cox's Bazar,Chattogram,Marine Life Museum,Not established,Not established,,,,,,,,,,,,,
Children's Museum (Shishu Academy),Old High Court Area,Dhaka,Dhaka,Children's Museum,,,Bangladesh Shishu Academy,,,,,,,,,,,,
Dhaka Nagar Jadughar,Nagar Bhaban (5th Floor),Dhaka,Dhaka,Heritage Museum,20 June 1986,20 July 1996,Dhaka North City Corporation,,2,,,,"Sat-Wed (9:00-15:30), Thu (9:00-14:45)",,"23°43'37""N 90°24'26""E",,,,
Dinajpur Museum,Dinajpur,Dinajpur,Rangpur,Archaeological Museum,April 1968,April 1968,Department of Archaeology,3 rooms,5,,,5,"Mon-Fri (11:00-17:00), Sat (11:00-14:00)",Sunday,"25°37'36""N 88°38'18""E",,,,
Ethnological Museum of Chittagong,Agrabad C/A,Chittagong,Chattogram,Tribal Museum,1965,1974,Department of Archaeology,11 galleries,,,,,,,"22°19'41""N 91°48'54""E",,,,
Fish Museum & Biodiversity Centre,Mymensingh,Mymensingh,Mymensingh,Marine Life Museum,2009,2009,Bangladesh Agricultural University,5 rooms,,,,,"Fri & Sat (10:00-12:00, 14:00-17:00)",,"24°43'15""N 90°25'12""E",,,,
Folk Heritage Museum (Bangla Academy),Shahbagh,Dhaka,Dhaka,Folk Museum,(Bangla Academy est. 3 Dec 1955),,Bangla Academy,,,,,,,,"23°44'15""N 90°23'45""E",,,,
Faridpur Museum,Faridpur,Faridpur,Dhaka,History Museum,1977,1977,Department of Archaeology,,,,,,,,"23°36'18.2""N 89°50'32.0""E",,,,
Jamalpur Estate Museum,Thakurgaon,Thakurgaon,Rangpur,History Museum,,,,,,,,,,,,,,,
Kangal Harinath Memorial Museum,Kumarkhali,Kushtia,Khulna,Memorial Museum,2013 (inaugurated),9 December 2017,Bangladesh National Museum,1 gallery,,,,,,,"23°51'21""N 89°14'13""E",,,,
Kushtia Municipal Museum,Kushtia,Kushtia,Khulna,History Museum,24 December 1997,24 December 1997,Kushtia Municipality,,,,,,,"Friday, Saturday","23°54'37""N 89°07'20""E",Bus / Car / Rickshaw from Kushtia city; Train to Kushtia Railway Station,,,
Khulna Divisional Museum,Khulna,Khulna,Khulna,Archaeological Museum,1998,1998,Department of Archaeology,6 galleries,,,,,,,"22°49'17""N 89°33'26""E",,,,
Kishoreganj Museum,Kishoreganj,Kishoreganj,Dhaka,Heritage Museum,,,Kishoreganj District Council,,,,,,,,,,,,
